phrase,translated_phrase,back_translated
"Severe pain, swelling, deformity, bruising, difficulty moving or using the affected area",严重的疼痛，肿胀，畸形，瘀伤，移动或使用影响区域的困难,"Severe pain, swelling, deformity, bruising, difficulty in moving or using the affected area"
"I've experienced severe itching, chills, nausea, and a high fever. Besides having a headache, I'm also perspiring a lot. I've been terrible with nausea and muscle ache.",我经历了严重的瘙痒，发冷，恶心和高烧。除了头痛之外，我还很出汗。我对恶心和肌肉疼痛很糟糕。,"I experienced severe itching, chills, nausea and high fever. Besides the headache, I was sweating. I'm terrible about nausea and muscle pain."
When i'm doing sport I have pain under my skin,当我从事运动时，我的皮肤疼痛,My skin hurts when I'm in exercise
I am overweight and have noticed that my legs are swollen and the blood vessels are visible. My legs have swollen and I can see a stream of swollen veins on my calves.,我超重，注意到我的腿肿胀，血管可见。我的腿肿了，我的小腿上可以看到一阵肿胀的静脉。,I was overweight and noticed my legs swelling and blood vessels were visible. My legs were swollen and a swollen vein could be seen on my calves.
"Numbness or tingling in fingers or around the mouth, muscle cramps",麻木或刺痛的手指或嘴巴周围，肌肉抽筋,"Numb or tingling fingers or around the mouth, muscle cramps"
"Blood is in my pee, and I have a low body temperature. I have practically continual headaches and often strong, uncontrollable need to urinate. In addition, I've started having lower back pain.",血液在我的小便中，体温低。我实际上有着持续的头痛，通常很强，无法控制的是小便的需求。此外，我开始患下背部疼痛。,"The blood is in my urine and my body temperature is low. I actually have a persistent headache, usually very strong, and what I can’t control is the need to urinate. Also, I started suffering from lower back pain."
I had an accident and my wound was open when I arrived to hospital,我出院了，当我到达医院时，伤口敞开了,"I was discharged and when I arrived, the wound was open"
When I eat sugar I notice my vision blurs.,当我吃糖时，我会注意到我的视力模糊。,"When I eat sugar, I notice my blurred vision."
"Increased energy and alertness, decreased appetite, rapid heartbeat",增加能量和机敏性，食欲下降，快速心跳,"Increase energy and alertness, decrease appetite, and rapid heartbeat"
I can't see the sign I have a blurry vision,我看不到标志我有一个模糊的视觉,I can't see the sign I have a blurry vision
"As a result of my regular vomiting, I've lost my appetite. My muscles, joints and back constantly hurt. I am starting to have fever too. I am really worried and not sure what to do.",由于我的常规呕吐，我失去了食欲。我的肌肉，关节和背部不断受伤。我也开始发烧。我真的很担心，不确定该怎么办。,"I lost my appetite due to my regular vomiting. My muscles, joints and back are constantly hurting. I also started to have a fever. I'm really worried, not sure what to do."
"My lower abdomen hurts, and when I urinate, it feels like it's exploding. I've been having low body temps ever since I started having these new symptoms. Because of this, I've been weak.",我的小腹很痛，当我排尿时，感觉就像在爆炸。自从我开始出现这些新症状以来，我的身体温度一直很低。因此，我很虚弱。,"My lower abdomen hurts and when I urinate, it feels like I'm exploding. My body temperature has been very low since I started to experience these new symptoms. So, I'm weak."
I've been having a lot of trouble keeping hydrated because of the vomiting and diarrhea. There is a mild fever along with constipation and headache.,由于呕吐和腹泻，我一直很难保持水分。便秘和头痛发烧轻度。,I have been having a hard time staying hydrated due to vomiting and diarrhea. Constipation and headache and fever.
"I regularly wake up with a scratchy voice or a sore throat. My throat is constantly irritated, and I have horrible breath. I frequently throw up.",我经常用刮擦的声音或喉咙痛醒来。我的喉咙不断刺激，我的呼吸可怕。我经常吐。,"I often wake up with scratching sounds or sore throat. My throat keeps irritating, my breathing is terrible. I vomit often."
"I've also been experiencing some diarrhea and constipation, which has been really worrying. It feels like a sharp, stabbing pain in my belly area. I feel tired all the time.",我还经历了一些腹泻和便秘，这真的很担心。感觉就像我腹部区域的剧烈刺痛。我一直都感到疲倦。,"I also experienced some diarrhea and constipation, which is really worrying. It felt like a violent sting in my belly area. I've been feeling tired all the time."
"Back pain, a dry cough, and a lack of muscle strength have been bothering me. My neck hurts, and I've been feeling lightheaded and shaky.",背痛，干咳嗽以及缺乏肌肉力量困扰着我。我的脖子很痛，我一直感到头昏眼花和发抖。,"Back pain, dry cough and lack of muscle strength bother me. My neck hurts and I keep feeling dizzy and trembling."
I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.,我的肌肉感觉真的很虚弱，脖子真的很僵硬。我的关节一直在肿胀，我很难四处走动而不会感到僵硬。步行也确实很痛苦。,My muscles feel really weak and my neck is really stiff. My joints are constantly swollen and it's hard for me to move around without feeling stiff. Walking is indeed painful.
I'm having a lot of trouble with constipation and pain while trying to go to the bathroom. It hurts a lot in my anus and the area around it. My stool has been bloody and my anus is really irritated.,试图去洗手间时，我在便秘和疼痛方面遇到了很多麻烦。它在我的肛门及其周围的区域中受到了很多伤害。我的凳子一直流血，我的肛门真的很烦人。,I had a lot of trouble with constipation and pain while trying to go to the bathroom. It took a lot of damage in my anus and the area around it. My stool keeps bleeding and my anus is really annoying.
"I've been feeling really scratchy, dizzy, and worn out. In addition, I've lost weight and have a temperature. My urine is dark, and my skin has turned yellow. Additionally, I get stomach pain.",我一直感到真的很挠痒，头晕和疲惫。此外，我体重减轻并具有温度。我的尿液很黑，我的皮肤变黄了。此外，我会感到胃痛。,"I've been feeling really tickling, dizzy and exhausted all the time. Also, I lost weight and had temperature. My urine is dark and my skin turns yellow. Also, I feel stomachache."
"Recently, the pain in my calves has been constant and becomes worse when I stand or walk for long periods of time. My legs have started to swell and also some blood vessels are quite noticeable.",最近，当我长时间站立或行走时，我的犊牛的疼痛变得不断变化。我的腿开始肿胀，一些血管也很明显。,"Recently, the pain in my calves has become constantly changing when I stand or walk for a long time. My legs started to swell and some blood vessels were noticeable."
"My throat often feels like it's on fire, especially after eating. I occasionally get an aftertaste that is sour or bitter and makes me feel nauseous.",我的喉咙常常觉得好像着火了，尤其是在进食之后。我偶尔会得到一个酸或苦味的余味，让我感到恶心。,"My throat often feels like it’s on fire, especially after eating. I get an occasional sour or bitter aftertaste that makes me feel sick."
"I've had intense aches in my chest, a head  pain that refuses to go away, and I've been feeling dizzy and unsteady.",我的胸部有痛苦的疼痛，头部疼痛拒绝消失，而且我一直感到头晕和不稳定。,"I had painful pain in my chest, the pain in my head refused to go away, and I was always feeling dizzy and unstable."
"Swollen salivary glands (usually parotid), fever, headache, fatigue",唾液腺肿胀（通常是腮腺），发烧，头痛，疲劳,"Swelling of salivary glands (usually parotid glands), fever, headache, fatigue"
My shoulder hurts me so much,我的肩膀伤害了我很大,My shoulders hurt me a lot
"I have a high fever, chills, and severe itching. Along with my headache and excessive sweating, I've been terrible with nausea and muscle ache.",我的高烧，发冷和严重的瘙痒。除了头痛和出汗过多的同时，我对恶心和肌肉疼痛感到非常糟糕。,"My high fever, chills and severe itching. Apart from the headache and excessive sweating, I feel very bad about nausea and muscle pain."
stiffness inability to look right or left except by moving the whole body,除了移动整个身体外，刚度无法向右或向左移动,The stiffness cannot move to the right or left except moving the entire body
When I tried to take care if my hair I found that it is falling out,当我试图注意我的头发时，我发现它掉了,"When I tried to pay attention to my hair, I noticed it fell"
"I've been having a tough time with this constant cough, difficulty breathing, and fatigue. My fever is high, and I've been coughing up a lot of thick, mucoid sputum. It's all been rather draining and exhausting, and I'm feeling quite sick at the moment.",这种不断的咳嗽，呼吸困难和疲劳一直很艰难。我的发烧很高，我一直在咳嗽很多厚的粘液痰。一切都在疲惫和疲惫，目前我感到非常恶心。,"This constant cough, breathing difficulties and fatigue has been difficult. My fever is very high and I've been coughing a lot of thick mucus phlegm. Everything is exhausted and exhausted, and I am very disgusted at the moment."
I am experiencing changes in my menstrual cycle and unexpected vaginal discharge. I often get mood swings and feel agitated from time to time,我正在经历月经周期和意外的阴道分泌物的变化。我经常会得到心情波动，并不时感到烦躁,I'm experiencing changes in my menstrual cycle and unexpected vaginal discharge. I often get mood swings and feel irritated from time to time
I'm not feeling good I can't take my breath,我感觉不好，我不能屏住呼吸,"I don't feel good, I can't hold my breath"
"Pain, swelling, bruising, deformity, restricted range of motion, difficulty gripping or using the finger",疼痛，肿胀，瘀伤，畸形，运动范围有限，难以抓住或使用手指,"Pain, swelling, bruising, deformity, limited range of motion, difficult to grasp or use your fingers"
"I've been encountering trouble walking, a headache, chest pain, and dizziness. My concentration skills and focus has also been challenging.",我一直在遇到麻烦走路，头痛，胸痛和头晕。我的专注能力和专注力也充满挑战。,"I've been having trouble walking, headaches, chest pain and dizziness. My concentration and concentration are also challenging."
"My skin rash has extended to other areas of my body, including my chest and belly. It is irritating and unpleasant, and it is frequently worst at night. I'm also experiencing skin flaking.",我的皮疹已扩展到身体的其他部位，包括胸部和腹部。它令人讨厌且令人不愉快，晚上通常是最坏的。我也正在剥落皮肤。,"My rash has expanded to other parts of my body, including my chest and abdomen. It's annoying and unpleasant, and the night is usually the worst. I'm peeling my skin, too."
"I've had a pretty uncomfortable itch all over my body, as well as red and bumpy areas on my skin. There are also certain patches of my skin that are a different hue than the rest of it, and I've had some pimples that resemble little balls.",我的身体遍布整个身体，以及皮肤上的红色和颠簸区域。我的皮肤的某些斑块与其余的色调不同，而且我有一些类似于小球的粉刺。,"My body is all over my body, as well as the red and bumpy areas on my skin. Some patches of my skin are different from the rest of the shades, and I have some acne similar to small balls."
Difficulty swallowing,吞咽困难,Difficulty swallowing
I have a dry mouth and throat. I also have been experiencing an increased appetite and hunger. However I do feel very tired at times,我的嘴和喉咙干。我也经历了食欲和饥饿感。但是我有时会感到很累,My mouth and throat were dry. I also experienced appetite and hunger. But I feel very tired sometimes
