text,og_label,LABEL
I think my wound is infected,Infected wound,Infections
i feel pain in my knee,Knee pain,Pain-related Conditions
My skin is very dry and peeling.,Skin issue,Dermatological & Skin Conditions
i can't move my shoulder because of pain,Shoulder pain,Pain-related Conditions
when i wake up in the morning i feel dizzy,Feeling dizzy,Neurological & General Symptoms
My hair is falling out in huge amount,Hair falling out,Dermatological & Skin Conditions
I have a sharp pain in my neck,Neck pain,Pain-related Conditions
There is pain in the muscles I do not know caused,Muscle pain,Pain-related Conditions
I have a problem in the expiration because i have abronchial asthma,Hard to breath,Respiratory & Sensory Issues
"Every time I make an effort, I felt dizzy.",Feeling dizzy,Neurological & General Symptoms
I have a powerful pain inside my neck,Neck pain,Pain-related Conditions
I have a pain internal,Internal pain,Pain-related Conditions
chronic disease of hair follicles and sebaceous glands.,Acne,Dermatological & Skin Conditions
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain,Neurological & General Symptoms
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,Neurological & General Symptoms
I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts,Chronic Conditions
I have a feeling like my whole body is complaining,Joint pain,Pain-related Conditions
My knee hurts when I play squash,Knee pain,Pain-related Conditions
i can't see well,Blurry vision,Respiratory & Sensory Issues
I tried alot of cream but i still feel the same skin problem,Skin issue,Dermatological & Skin Conditions
It feels like someone stuck a knife into my shoulder,Shoulder pain,Pain-related Conditions
I feel a burning sensation in my shoulder muscle.,Muscle pain,Pain-related Conditions
I cut my foot at the pool and it breaks open every day when I walk on it.,Open wound,Infections
My knee catches and hurts when I first stand up after sitting.,Knee pain,Pain-related Conditions
I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound,Infections
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain,Pain-related Conditions
i have a problem in seeing objects it is too difficult to see,Blurry vision,Respiratory & Sensory Issues
glass broken and wound my leg badly the wound is so wide,Open wound,Infections
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision,Respiratory & Sensory Issues
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache,Pain-related Conditions
I feel pain in my knee when I climb the stairs.,Joint pain,Pain-related Conditions
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak,Neurological & General Symptoms
My knee hurts when I walk,Knee pain,Pain-related Conditions
i can't rotate my neck,Neck pain,Pain-related Conditions
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,Infections
i have a problem in my back i cannot extend it,Back pain,Pain-related Conditions
I can't walk because i have a great foot ache,Foot ache,Pain-related Conditions
My heart is beating fast and it scares me.,Heart hurts,Chronic Conditions
I used to have acne when I was 15 years old,Acne,Dermatological & Skin Conditions
My muscles in my lower back are aching.,Muscle pain,Pain-related Conditions
My shoulder muscle hurts when I try to reach up.,Muscle pain,Pain-related Conditions
I feel heart pain when I walk a lot,Heart hurts,Chronic Conditions
My skin is itchy and inflamed,Skin issue,Dermatological & Skin Conditions
I have a cold and it makes me cough alot,Cough,Respiratory & Sensory Issues
I have a dry throat,Cough,Respiratory & Sensory Issues
I'm not hearing well I have problem with my ear,Ear ache,Respiratory & Sensory Issues
My foot is hurting so much.,Foot ache,Pain-related Conditions
My shower drain is full of hair every time.,Hair falling out,Dermatological & Skin Conditions
I have front head pain and when I get it the light bothers me.,Head ache,Pain-related Conditions
Even though I'm an adult my face keeps breaking out in pimples.,Acne,Dermatological & Skin Conditions
When I get out of bed in the morning my body feels very weak.,Body feels weak,Neurological & General Symptoms
"surgical wounds red, firing pus, painful and hot to the touch",Infected wound,Infections
Feel like something is being jabbed into my joints,Joint pain,Pain-related Conditions
The arches of my feet hurt when I wear heels,Foot ache,Pain-related Conditions
I feel pain in the lower back,Back pain,Pain-related Conditions
I have a dull ache in my head,Head ache,Pain-related Conditions
I feel a pain in my neck,Neck pain,Pain-related Conditions
i have pain but i can't specify place,Internal pain,Pain-related Conditions
I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache,Respiratory & Sensory Issues
I feel joint pain every time I move,Joint pain,Pain-related Conditions
i have a hard pain in my stomach,Stomach ache,Gastrointestinal Conditions
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache,Respiratory & Sensory Issues
I need a kind of cream wich make my muscles more relaxed,Muscle pain,Pain-related Conditions
I have a back pain since I fell on the floor.,Back pain,Pain-related Conditions
I feel lightheaded,Feeling dizzy,Neurological & General Symptoms
My body aches on the inside between my hips and shoulders.,Internal pain,Pain-related Conditions
I have a foot ache after running 500m with my running shoes.,Foot ache,Pain-related Conditions
"I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold.",Feeling cold,Respiratory & Sensory Issues
"i feel hurt, lot of pain in my heart",Emotional pain,Neurological & General Symptoms
I break out on my face very frequently,Acne,Dermatological & Skin Conditions
I have tried to relief it but I can't,Body feels weak,Neurological & General Symptoms
I stopped sports because I get Injury from sports,Injury from sports,Trauma/Injuries
Every time I take a deep breath I start coughing,Cough,Respiratory & Sensory Issues
when i extend my leg there is pain in knee joint,Joint pain,Pain-related Conditions
my head hurts me badly,Head ache,Pain-related Conditions
when i was washing my hair it was falling out heavily,Hair falling out,Dermatological & Skin Conditions
I hate my acne.,Acne,Dermatological & Skin Conditions
i have pain like needles in my joints.,Joint pain,Pain-related Conditions
i have a great pain in my thorax from heart injury,Heart hurts,Chronic Conditions
I don't know why I'm constantly sad.,Emotional pain,Neurological & General Symptoms
i feel pain in my neck,Neck pain,Pain-related Conditions
My muscles feel tired,Body feels weak,Neurological & General Symptoms
i feel pain in my stomach,Stomach ache,Gastrointestinal Conditions
"I have a foot ache in winter, or when it feels cold, why?",Foot ache,Pain-related Conditions
My back is hurting so much.,Back pain,Pain-related Conditions
The pain feels like it's right below the skin,Muscle pain,Pain-related Conditions
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain,Pain-related Conditions
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,Pain-related Conditions
"my child has cough all night, she can't sleep",Cough,Respiratory & Sensory Issues
"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy,Neurological & General Symptoms
When I play sports  I have some burning sensation in my spine,Back pain,Pain-related Conditions
I have a hard muscle pain since i went to the gym,Muscle pain,Pain-related Conditions
my hair falling out,Hair falling out,Dermatological & Skin Conditions
I feel aching on my insides.,Internal pain,Pain-related Conditions
I have this strange rash on my arm.,Skin issue,Dermatological & Skin Conditions
My face break out badly every month around my cycle.,Acne,Dermatological & Skin Conditions
I have a lot of mucus when I cough.,Cough,Respiratory & Sensory Issues
i'm disappointed,Emotional pain,Neurological & General Symptoms
I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,Stomach ache,Gastrointestinal Conditions
I was playing soccer and I twisted my ankle,Injury from sports,Trauma/Injuries
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound,Infections
I feel so sore in my stomach area.,Stomach ache,Gastrointestinal Conditions
i have shoulder pain after doing any home work.,Shoulder pain,Pain-related Conditions
"laceration, rupture or opening in the skin",Open wound,Infections
I can't carry anything I have a pain in my shoulder,Shoulder pain,Pain-related Conditions
How do you know if you have a torn meniscus in your knee?,Knee pain,Pain-related Conditions
My head gets dizzy when I try to get up.,Feeling dizzy,Neurological & General Symptoms
I feel pain when parting loved ones,Emotional pain,Neurological & General Symptoms
there is a red stain in my skin,Skin issue,Dermatological & Skin Conditions
"i can't walk, my knee hurts me",Knee pain,Pain-related Conditions
My body feels weak and I tried to make it relax but it stills pain me,Body feels weak,Neurological & General Symptoms
I feel increased heart rate with prick,Heart hurts,Chronic Conditions
My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.,Infected wound,Infections
The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache,Pain-related Conditions
i have a problem in my middle ear made by infection,Ear ache,Respiratory & Sensory Issues
My television and computer seem out of focus even though I have new glasses.,Blurry vision,Respiratory & Sensory Issues
I have a break in the skin between my thumb and index finger and it will not close.,Open wound,Infections
When I brush my hair I notice big clumps of hair coming out in the brush.,Hair falling out,Dermatological & Skin Conditions
I feel pain in the knee when walking,Knee pain,Pain-related Conditions
I'm not feeling good I can't take my breath,Hard to breath,Respiratory & Sensory Issues
I feel pain inside and I can not identify it,Internal pain,Pain-related Conditions
I have an indigestion,Stomach ache,Gastrointestinal Conditions
I m feeling cold though the temperature is high,Feeling cold,Respiratory & Sensory Issues
My body feels weak although I take my vitamins regularly.,Body feels weak,Neurological & General Symptoms
i feel pain in my body,Internal pain,Pain-related Conditions
"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee.",Knee pain,Pain-related Conditions
I get an ear ache when it is cold,Ear ache,Respiratory & Sensory Issues
My joints feel swollen,Joint pain,Pain-related Conditions
When I stand I feel dizzy I do not know why,Feeling dizzy,Neurological & General Symptoms
My lower back hurts but it improves if I stretch it,Muscle pain,Pain-related Conditions
I got acne when I ate chili,Acne,Dermatological & Skin Conditions
I could not exercise because of my knee pain,Knee pain,Pain-related Conditions
A terrible fall in hair,Hair falling out,Dermatological & Skin Conditions
my ear hurts me badly,Ear ache,Respiratory & Sensory Issues
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound,Infections
heart aches so much,Heart hurts,Chronic Conditions
My throught is so sore.,Neck pain,Pain-related Conditions
The pain in my ear is unbearable.,Ear ache,Respiratory & Sensory Issues
My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound,Infections
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain,Pain-related Conditions
My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain,Pain-related Conditions
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,Neurological & General Symptoms
My kneecap feels like it is grating bone on bone when I walk.,Knee pain,Pain-related Conditions
I feel suicidal.,Emotional pain,Neurological & General Symptoms
I feel pain in my joint after an injury in the last football match I played.,Joint pain,Pain-related Conditions
I feel dizzy whenever I stand up.,Feeling dizzy,Neurological & General Symptoms
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain,Pain-related Conditions
I feel pain in my eyes I can see fog,Blurry vision,Respiratory & Sensory Issues
Can't keep focus,Head ache,Pain-related Conditions
I feel fluid trying to come up when I cough.,Cough,Respiratory & Sensory Issues
"My skin color on my back is red, I don't know why.",Skin issue,Dermatological & Skin Conditions
I'm suffering from sharp cough Accompanied by  phlegm,Cough,Respiratory & Sensory Issues
"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain,Pain-related Conditions
I feel a tightness in my chest,Hard to breath,Respiratory & Sensory Issues
My chest hurts when I smoke,Internal pain,Pain-related Conditions
I have a foot ache although I don't walk a lot.,Foot ache,Pain-related Conditions
i feel pain in my foot,Foot ache,Pain-related Conditions
I had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports,Trauma/Injuries
I usually have a bad cough when I get flu.,Cough,Respiratory & Sensory Issues
"i was playing basketball yesterday, i have sprained ankle",Injury from sports,Trauma/Injuries
My chest break out with red pimples and whiteheads.,Acne,Dermatological & Skin Conditions
itch at front and center of scalp,Hair falling out,Dermatological & Skin Conditions
I get breakouts on my chest with red patches that get more intense when i get hot.,Acne,Dermatological & Skin Conditions
i can't ride my car at night because i have blurry vision.,Blurry vision,Respiratory & Sensory Issues
I feel pain in the knee,Knee pain,Pain-related Conditions
I can't stand with this horrible feeling in my stomach,Stomach ache,Gastrointestinal Conditions
When I tried to be warm and wear more clothes I found that I was still cold,Feeling cold,Respiratory & Sensory Issues
My knee is hurting so badly.,Joint pain,Pain-related Conditions
fell skull is cracked like nuts,Head ache,Pain-related Conditions
It is like I have a needle pushing through my heart.,Heart hurts,Chronic Conditions
My chest acne breaks out and never clears up.,Acne,Dermatological & Skin Conditions
my hair isn't well,Hair falling out,Dermatological & Skin Conditions
I feel a great amount of pressure of my head.,Head ache,Pain-related Conditions
my hand open wound got infected,Infected wound,Infections
I feel great pressure in my chest,Hard to breath,Respiratory & Sensory Issues
I have an open wound in my arm,Open wound,Infections
i cant sleep because of cough,Cough,Respiratory & Sensory Issues
"It is hard to breath when I am in the underground metro station, why?",Hard to breath,Respiratory & Sensory Issues
"can't do any exercise, i feel weak",Body feels weak,Neurological & General Symptoms
I'm very worried that I'll go bald soon. Am I very sick?,Hair falling out,Dermatological & Skin Conditions
i feel that is great pain in my left shoulder,Shoulder pain,Pain-related Conditions
Is there a cure for acne?,Acne,Dermatological & Skin Conditions
I have a pain in my muscle,Muscle pain,Pain-related Conditions
I feel sad like hurt or pain,Emotional pain,Neurological & General Symptoms
I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue,Dermatological & Skin Conditions
I have a red rash that is itchy on my skin,Skin issue,Dermatological & Skin Conditions
I feel pain in my neck after waking up,Neck pain,Pain-related Conditions
My neck has been sore since the accident.,Neck pain,Pain-related Conditions
"I feel a pain on the left side of my chest, where my heart is",Heart hurts,Chronic Conditions
When I wake up I am feeling cold,Feeling cold,Respiratory & Sensory Issues
there is acne on my face,Acne,Dermatological & Skin Conditions
I'm not good i'm feeling so cold,Feeling cold,Respiratory & Sensory Issues
I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.,Open wound,Infections
"It's hard to stand up, and I'm moving very slowly",Body feels weak,Neurological & General Symptoms
There is so much pain when I move my arm.,Shoulder pain,Pain-related Conditions
i have injured myself during the soccer match,Injury from sports,Trauma/Injuries
When I wake up in the morning I feel a soreness in my body,Muscle pain,Pain-related Conditions
I feel pain in my heart when I wake up,Heart hurts,Chronic Conditions
I feel like something is squeezing my lungs.,Hard to breath,Respiratory & Sensory Issues
My foot had been aching since last Tuesday.,Foot ache,Pain-related Conditions
My back hurts a lot when I bend,Back pain,Pain-related Conditions
Everything looks like beeing in a smoky area.,Blurry vision,Respiratory & Sensory Issues
Have severe cold and cough,Cough,Respiratory & Sensory Issues
Chronic bowel Pain,Internal pain,Pain-related Conditions
When I played football I dislocated my shoulder,Injury from sports,Trauma/Injuries
I feel pain in my right shoulder after the tennis match.,Injury from sports,Trauma/Injuries
There is this pain that radiates from my chest up to my left arm.,Heart hurts,Chronic Conditions
I have pimples in patches along with a lot of redness on my face.,Acne,Dermatological & Skin Conditions
"i can't move my leg, there is pain in the joint",Joint pain,Pain-related Conditions
I have a mental suffering,Emotional pain,Neurological & General Symptoms
I feel a sharp pain in my ankle joint when I stand.,Joint pain,Pain-related Conditions
My head hurts in the back and the pain lasts all day.,Head ache,Pain-related Conditions
What helps cuts heal faster?,Open wound,Infections
My knee doesn't want to bend well.,Knee pain,Pain-related Conditions
My knees seem to grind as I go up or down stairs.,Knee pain,Pain-related Conditions
When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy,Neurological & General Symptoms
My sore isn't healing well and it's been like this for two weeks.,Open wound,Infections
After walking I have some pain under my foot,Foot ache,Pain-related Conditions
I hit myself and the would doesn't want to heal,Open wound,Infections
I have some pain when i'm walking around my knees,Joint pain,Pain-related Conditions
When I stand up too quick my vision is blurry.,Blurry vision,Respiratory & Sensory Issues
I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound,Infections
The severe pain in the stomach I feel,Stomach ache,Gastrointestinal Conditions
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold,Respiratory & Sensory Issues
I can`t stop coughing.,Cough,Respiratory & Sensory Issues
There is an injured person,Infected wound,Infections
It hurts when I raise my arm up,Shoulder pain,Pain-related Conditions
"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound,Infections
When I eat too much sugar my body gets weak and dizzy.,Body feels weak,Neurological & General Symptoms
My right shoulder clicks when I move my arm.,Shoulder pain,Pain-related Conditions
I have a rash and it itches very bad.,Skin issue,Dermatological & Skin Conditions
I have constant stomach pain and bloating.,Internal pain,Pain-related Conditions
My foot hurts and I can't turn it.  Maybe it's broken.,Foot ache,Pain-related Conditions
I knocked my foot and it really hurts.,Foot ache,Pain-related Conditions
My son has a lot of acne.,Acne,Dermatological & Skin Conditions
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain,Pain-related Conditions
My stomach feels starts hurting but then it feels better after I eat something mild.,Stomach ache,Gastrointestinal Conditions
My neck feels stiff,Neck pain,Pain-related Conditions
I feel dizzy after doing a muscular effort.,Feeling dizzy,Neurological & General Symptoms
I feel lightheaded when I stand up,Feeling dizzy,Neurological & General Symptoms
I feel a lot of pain in the joints.,Joint pain,Pain-related Conditions
The acne was causing me to feel embarrassed.,Acne,Dermatological & Skin Conditions
Whenever I stand up I feel dizzy.,Feeling dizzy,Neurological & General Symptoms
I have a split on my thumb that will not heal.,Open wound,Infections
i was playing football and injuried with joint pain.,Joint pain,Pain-related Conditions
I can't see the sign I have a blurry vision,Blurry vision,Respiratory & Sensory Issues
"My heart hurts while I'm sad, why?",Heart hurts,Chronic Conditions
I have a headache almost every day,Head ache,Pain-related Conditions
There is a constant tickle in my throat,Cough,Respiratory & Sensory Issues
There are lots of hairs on my pillow in the morning.,Hair falling out,Dermatological & Skin Conditions
I have a scab on the back of my hand that just won't go away.,Skin issue,Dermatological & Skin Conditions
I have a very rash sensation close to my arms,Skin issue,Dermatological & Skin Conditions
When i'm doing sport I have pain under my skin,Muscle pain,Pain-related Conditions
I hit my head at the basketball game.  Could I have a concussion?,Injury from sports,Trauma/Injuries
"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts,Chronic Conditions
"i was diagnosed with pneumonia, i can't breath easily.",Hard to breath,Respiratory & Sensory Issues
my neck hurts me and i can't look down or up,Neck pain,Pain-related Conditions
I don't do anything at home and still I feel exhausted.,Body feels weak,Neurological & General Symptoms
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain,Pain-related Conditions
I wake up at night feeling cold,Feeling cold,Respiratory & Sensory Issues
When I go to sleep I am feeling cold,Feeling cold,Respiratory & Sensory Issues
my back hurts me a lot,Back pain,Pain-related Conditions
Feels like there are pins and needles sticking in my joints,Joint pain,Pain-related Conditions
I have internal pain whenever I come down with a cold.,Internal pain,Pain-related Conditions
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough,Respiratory & Sensory Issues
I have eruptions on my face that come and go .,Acne,Dermatological & Skin Conditions
i have a very bad cough,Cough,Respiratory & Sensory Issues
"I've tried reading books, but nothing can cheer me up.",Emotional pain,Neurological & General Symptoms
I feel a great pain in my shoulder joint and it does not go away,Joint pain,Pain-related Conditions
I have a rash on my skin,Skin issue,Dermatological & Skin Conditions
When I play football I have joint pain.,Joint pain,Pain-related Conditions
Severe pain in the ear,Ear ache,Respiratory & Sensory Issues
Chronic disease of hair follicles and sebaceous glands,Acne,Dermatological & Skin Conditions
When I carry heavy things i feel like breaking my back,Back pain,Pain-related Conditions
I feel abdominal pain,Stomach ache,Gastrointestinal Conditions
"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache,Pain-related Conditions
"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath,Respiratory & Sensory Issues
Need to scratch my skin every minute,Skin issue,Dermatological & Skin Conditions
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound,Infections
It hurts when I bent my arm,Joint pain,Pain-related Conditions
I have pain in my stomach,Stomach ache,Gastrointestinal Conditions
Stomach pain after drinking milk,Stomach ache,Gastrointestinal Conditions
The wound is still open,Open wound,Infections
When I eat sugar I notice my vision blurs.,Blurry vision,Respiratory & Sensory Issues
I have pain in my colon and my stomach like something cutting it,Stomach ache,Gastrointestinal Conditions
My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache,Respiratory & Sensory Issues
"My body feels weak after my first day in the gym, why?",Body feels weak,Neurological & General Symptoms
It's hard to see things,Blurry vision,Respiratory & Sensory Issues
My cough is very heavy and I have mucus.,Cough,Respiratory & Sensory Issues
I feel strong pain in my knee after it was hit during the football match.,Injury from sports,Trauma/Injuries
Oh my heart hurts me I tried to be calm and I can't,Heart hurts,Chronic Conditions
standing less than five minutes and my back start to ache,Back pain,Pain-related Conditions
My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.,Infected wound,Infections
Is pimples a skin disease?,Acne,Dermatological & Skin Conditions
I fell off my bike and since then I had hard  knee pain,Knee pain,Pain-related Conditions
I'm having a hard time reading because the letters are all fuzzy,Blurry vision,Respiratory & Sensory Issues
The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache,Pain-related Conditions
"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",Acne,Dermatological & Skin Conditions
My head is so heavy can't think normally,Head ache,Pain-related Conditions
I feel hurts in my heart,Heart hurts,Chronic Conditions
I feel a sharp pain in the stomach after eating,Stomach ache,Gastrointestinal Conditions
Since I went into the forest  I have pain on my ear,Ear ache,Respiratory & Sensory Issues
"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary.",Blurry vision,Respiratory & Sensory Issues
i feel pain in my back,Back pain,Pain-related Conditions
i have a pain in my trapes,Muscle pain,Pain-related Conditions
I fell a stiffness in my elbows and shoulders,Joint pain,Pain-related Conditions
"My hair is coming out in chunks, especially when I wash it",Hair falling out,Dermatological & Skin Conditions
My ear is ringing.,Ear ache,Respiratory & Sensory Issues
I can't turn my neck to the left without feeling a stabbing pain,Neck pain,Pain-related Conditions
My wound opened up again,Open wound,Infections
i hit the ground when trying to shoot a basketball,Injury from sports,Trauma/Injuries
my shoulder is hurting me,Shoulder pain,Pain-related Conditions
Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain,Pain-related Conditions
I feel discomfort throughout the body in general,Body feels weak,Neurological & General Symptoms
I can't sleep I have a hard cough,Cough,Respiratory & Sensory Issues
After a breakup  I feel something strange in me.,Emotional pain,Neurological & General Symptoms
i have a strong shoulder pain,Shoulder pain,Pain-related Conditions
I can't stand with this horrible feeling in my shoulder,Shoulder pain,Pain-related Conditions
I'm in need for a treatment for my hair fall,Hair falling out,Dermatological & Skin Conditions
I feel pain in my ears with tinnitus,Ear ache,Respiratory & Sensory Issues
I feel like there is something swollen and inflamed at the back of my knee.,Knee pain,Pain-related Conditions
There's swelling in my neck and it hurts.,Neck pain,Pain-related Conditions
It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache,Pain-related Conditions
I think there's fluid in my ears.,Ear ache,Respiratory & Sensory Issues
When I force my eyes to view I have blurry vision.,Blurry vision,Respiratory & Sensory Issues
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath,Respiratory & Sensory Issues
My acne itches and oozes.,Acne,Dermatological & Skin Conditions
I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,Infected wound,Infections
When I was young I had an injury from sports in my knee.,Injury from sports,Trauma/Injuries
My biceps started aching after I went to the gym,Muscle pain,Pain-related Conditions
I feel cold although we are in summer.,Feeling cold,Respiratory & Sensory Issues
"I have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision,Respiratory & Sensory Issues
I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound,Infections
i have severe dry cough,Cough,Respiratory & Sensory Issues
"I hardly have enough stength to get up,",Body feels weak,Neurological & General Symptoms
Sterilizer for the eye,Blurry vision,Respiratory & Sensory Issues
My shoulder aches when I try to lift five pounds.,Shoulder pain,Pain-related Conditions
I have shooting pain in my kneecap after working out.,Knee pain,Pain-related Conditions
I have shoulder pain when I try to carry my groceries.,Shoulder pain,Pain-related Conditions
I feel weak all over.,Body feels weak,Neurological & General Symptoms
The crushing sensation on my heart leaves me breathless.,Heart hurts,Chronic Conditions
My head hurts when I'm doing this.,Head ache,Pain-related Conditions
When I bend over I get a shooting pain down my back,Back pain,Pain-related Conditions
i can't breath because of  Cough,Cough,Respiratory & Sensory Issues
There is pain in my joints. I can not bear pain,Joint pain,Pain-related Conditions
I broke my ankle while doing rock climbing in the Carpathians.,Injury from sports,Trauma/Injuries
I've been feeling very sad lately,Emotional pain,Neurological & General Symptoms
I can't get a girlfriend because of my acne.,Acne,Dermatological & Skin Conditions
When I play football I have muscle pain.,Muscle pain,Pain-related Conditions
I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.,Back pain,Pain-related Conditions
I have a hair shortage,Hair falling out,Dermatological & Skin Conditions
i am having problems seeing things feel like a cloud on my eyes everything is blurry,Blurry vision,Respiratory & Sensory Issues
I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.,Infected wound,Infections
I get terrible headaches every few months and when I get them my vision is affected.,Head ache,Pain-related Conditions
I have a dry skin,Skin issue,Dermatological & Skin Conditions
my heart hurts me,Heart hurts,Chronic Conditions
I hve cut my finger because of playing football and I  to apply pain relief cream but it does not help,Injury from sports,Trauma/Injuries
I am having running nose,Feeling cold,Respiratory & Sensory Issues
I got injured exercising,Injury from sports,Trauma/Injuries
I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,Ear ache,Respiratory & Sensory Issues
